Donors Returns - 2012-13,
 data exported: 01/Feb/2017 12:02,
DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"Anthony Pratt","","","","","Liberal Party of Australia, NSW Division","16/08/2012 12:00:00 AM","20000.0000",
"Dominic Roche","","","","","National Party of Australia","05/06/2013 12:00:00 AM","20000.0000",
"George and Maren Lee","","","","","Rise Up Australia Party","18/10/2012 12:00:00 AM","13000.0000",
"George and Maren Lee","","","","","Rise Up Australia Party","07/08/2012 12:00:00 AM","1000.0000",
"Huang Changran","","","","","ALP NSW","19/11/2012 12:00:00 AM","150000.0000",
"Huang Changran","","","","","LPA - NSW (Federal Campaign)","23/04/2013 12:00:00 AM","40000.0000",
"Jon  Fogarty","","","","","Liberal Party (W.A. Division) Inc.","10/05/2013 12:00:00 AM","30100.0000",
"Lance Chapman","","","","","Australian Greens, Australian Capital Territory Branch","12/12/2012 12:00:00 AM","5000.0000",
"Lance Chapman","","","","","Australian Greens, Australian Capital Territory Branch","13/12/2012 12:00:00 AM","5000.0000",
"Lance Chapman","","","","","Australian Greens, Australian Capital Territory Branch","25/02/2013 12:00:00 AM","2250.0000",
"Lance Chapman","","","","","Australian Greens, Australian Capital Territory Branch","30/01/2013 12:00:00 AM","1000.0000",
"Lance Chapman","","","","","Australian Greens, Australian Capital Territory Branch","31/01/2013 12:00:00 AM","1000.0000",
"Piers Dawson-Damer","","","","","Liberal Party of Australia - Tasmanian Division","18/01/2013 12:00:00 AM","5000.0000",
"26 Summers Pty Ltd","150 Kerferd Road","ALBERT PARK","VIC","3206","Australian Stable Population Party","05/03/2013 12:00:00 AM","11000.0000",
"26 Summers Pty Ltd","150 Kerferd Road","ALBERT PARK","VIC","3206","Australian Stable Population Party","04/04/2013 12:00:00 AM","11000.0000",
"26 Summers Pty Ltd","150 Kerferd Road","ALBERT PARK","VIC","3206","Australian Stable Population Party","08/05/2013 12:00:00 AM","11000.0000",
"88 Terrace Road Pty Ltd","PO Box 3380","EAST PERTH","WA","6892","Liberal Party of Australia (WA Div) Inc - LIB-WA","08/03/2013 12:00:00 AM","30000.0000",
"A&K (NT) Pty Ltd and Minegain Pty Ltd","19 Kirkland Crescent","LARRAKEYAH","NT","0820","Country Liberals (Northern Territory)","08/08/2012 12:00:00 AM","10000.0000",
"A&K (NT) Pty Ltd and Minegain Pty Ltd","19 Kirkland Crescent","LARRAKEYAH","NT","0820","Australian Labor Party (Northern Territory) Branch","19/02/2013 12:00:00 AM","2000.0000",
"Accomodation Association of Australia","Suite 1, Level 2 189 Kent Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division","26/03/2013 12:00:00 AM","25000.0000",
"Accomodation Association of Australia","Suite 1, Level 2 189 Kent Street","SYDNEY","NSW","2000","Liberal Party of Australia - Tasmanian Division","05/11/2012 12:00:00 AM","1500.0000",
"Accomodation Association of Australia","Suite 1, Level 2 189 Kent Street","SYDNEY","NSW","2000","Liberal National Party of Queensland","27/06/2013 12:00:00 AM","350.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Part NSW Division","21/11/2012 12:00:00 AM","10000.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","ALP - WA","27/11/2012 12:00:00 AM","4075.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party SA - Norwood SEC","03/03/2013 12:00:00 AM","3500.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party VIC Division - Flinders","26/04/2013 12:00:00 AM","3000.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party NSW Division - Paterson","23/03/2013 12:00:00 AM","2300.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party VIC - Enterprise 500 Victoria","12/06/2013 12:00:00 AM","2272.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party VIC - Enterprise 500 Victoria","07/01/2013 12:00:00 AM","2000.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party Tasmania","05/10/2012 12:00:00 AM","2000.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party VIC - Enterprise 500 Victoria","22/11/2012 12:00:00 AM","1000.0000",
"Advocacy Services Australia Limited","Level 8 8-10 Loftus Street","SYDNEY","NSW","2000","ALP VIC Branch","17/08/2012 12:00:00 AM","900.0000",
