Donors Returns - 2013-14,
 data exported: 01/Feb/2017 12:02,
DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"CFMEU - Construction & General Division, National Office","PO Box Q235 QVB Post Office","SYDNEY","NSW","1230","Australian Greens (South Australia)","26/08/2013 12:00:00 AM","50000.0000",
"CFMEU - Construction & General Division, National Office","PO Box Q235 QVB Post Office","SYDNEY","NSW","1230","Australian Greens, Australian Capital Territory Branch","03/09/2013 12:00:00 AM","50000.0000",
"CFMEU - Construction & General Division, National Office","PO Box Q235 QVB Post Office","SYDNEY","NSW","1230","Australian Greens, Victorian Branch","03/09/2013 12:00:00 AM","25000.0000",
"CFMEU - Construction & General Division, National Office","PO Box Q235 QVB Post Office","SYDNEY","NSW","1230","Australian Labor Party (State of Queensland)","13/06/2014 12:00:00 AM","20000.0000",
"Chris  Blogg","","","","","Help End Marijuana Prohibition (HEMP) Party","01/08/2013 12:00:00 AM","20000.0000",
"Constantinos Makris","","","","","LIB-NSW","01/09/2013 12:00:00 AM","15000.0000",
"D F and H G Stahmann","","","","","LNP-QLD","23/07/2013 12:00:00 AM","305000.0000",
"Gary Seaton","","","","","Queensland Greens","29/08/2013 12:00:00 AM","25000.0000",
"Meijuan Wu","","","","","Liberal Party (W.A. Division) Inc.","04/04/2014 12:00:00 AM","50000.0000",
"Mr Jon Fogarty","","","","","Liberal Party of Australia","31/07/2013 12:00:00 AM","100000.0000",
"Mr N R Adler","","","","","Liberal Party of Australia","20/08/2013 12:00:00 AM","50000.0000",
"Mr N R Adler","","","","","Liberal Party of Australia (S.A. Division)","11/03/2014 12:00:00 AM","25000.0000",
"Piers Dawson-Damer","","","","","Liberal Party of Australia - Tasmanian Division","20/08/2013 12:00:00 AM","15000.0000",
"Piers Dawson-Damer","","","","","Liberal Party of Australia - Tasmanian Division","13/03/2014 12:00:00 AM","3000.0000",
"Piers Dawson-Damer","","","","","Liberal Party of Australia - Tasmanian Division","24/02/2014 12:00:00 AM","2500.0000",
"Piers Dawson-Damer","","","","","Liberal Party of Australia - Tasmanian Division","16/09/2013 12:00:00 AM","1100.0000",
"Piers Dawson-Damer","","","","","Liberal Party of Australia - Tasmanian Division","18/02/2014 12:00:00 AM","880.0000",
"Piers Dawson-Damer","","","","","Liberal Party of Australia - Tasmanian Division","12/11/2013 12:00:00 AM","770.0000",
"Piers Dawson-Damer","","","","","National Party of Australia","03/12/2013 12:00:00 AM","250.0000",
"Professor Silviu Itescu","","","","","Liberal Party of Australia","02/09/2013 12:00:00 AM","20000.0000",
"Soffy Eigenmann","","","","","Rise Up Australia Party","17/08/2013 12:00:00 AM","42000.0000",
"26 Summers Pty Ltd","69 St Vincent Place South Albert Park","ALBERT PARK","VIC","3206","#Sustainable Population Party","15/08/2013 12:00:00 AM","30000.0000",
"26 Summers Pty Ltd","69 St Vincent Place South Albert Park","ALBERT PARK","VIC","3206","#Sustainable Population Party","02/12/2013 12:00:00 AM","13000.0000",
"26 Summers Pty Ltd","69 St Vincent Place South Albert Park","ALBERT PARK","VIC","3206","#Sustainable Population Party","17/02/2014 12:00:00 AM","10000.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","09/08/2013 12:00:00 AM","50000.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","28/03/2014 12:00:00 AM","3120.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","01/04/2014 12:00:00 AM","600.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","10/03/2014 12:00:00 AM","350.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","25/03/2014 12:00:00 AM","350.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","22/05/2014 12:00:00 AM","240.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","07/08/2013 12:00:00 AM","120.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia NSW Division","12/02/2014 12:00:00 AM","10000.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia VIC - Enterprise 500 Victoria","10/02/2014 12:00:00 AM","9090.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia NSW Division","24/08/2013 12:00:00 AM","5000.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia VIC - Enterprise 500 Victoria","14/11/2013 12:00:00 AM","3000.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia - Cook FEC","21/08/2013 12:00:00 AM","2613.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","ALP VIC Branch","27/02/2014 12:00:00 AM","2000.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","ALP NSW Branch","02/09/2013 12:00:00 AM","2000.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","ALP NSW Branch","06/09/2013 12:00:00 AM","2000.0000",
