Donors Returns - 2014-15,
 data exported: 01/Feb/2017 12:02,
DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia - SA Division (Hindmarsh FEC)","29/04/2015 12:00:00 AM","136.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia - SA Division (Hindmarsh FEC)","19/11/2014 12:00:00 AM","136.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","ALP National Secretariat","11/03/2015 12:00:00 AM","100.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia - Bradfield FEC","04/08/2014 12:00:00 AM","100.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia - Cook FEC","10/04/2015 12:00:00 AM","65.0000",
"Advocacy Services Australia Limited","Level 8, 8-10 Loftus Street","SYDNEY","NSW","2000","Liberal Party of Australia - Cook FEC","10/12/2014 12:00:00 AM","65.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Australian Labor Party (Queensland)","28/01/2015 12:00:00 AM","11000.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Australian Labor Party (Queensland)","10/11/2014 12:00:00 AM","5500.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","LNP Queensland","21/07/2014 12:00:00 AM","5500.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Australian Labor Party","29/09/2014 12:00:00 AM","3300.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Australian Labor Party (South Australia)","08/09/2014 12:00:00 AM","3000.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","LNP Queensland","23/01/2015 12:00:00 AM","2200.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","LNP Queensland","23/01/2015 12:00:00 AM","2000.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Nationals","19/02/2015 12:00:00 AM","2000.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","LNP Queensland","06/10/2014 12:00:00 AM","1500.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Australian Labor party (Victoria)","04/08/2014 12:00:00 AM","990.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Australian Labor Party (NSW)","08/12/2014 12:00:00 AM","550.0000",
"AGL Energy Limited","L22, 101 Miller Street","NORTH SYDNEY","NSW","2060","Australian Labor Party (Queensland)","23/04/2015 12:00:00 AM","500.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","ALP-VIC","20/10/2014 12:00:00 AM","5500.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","LIB-VIC","09/09/2014 12:00:00 AM","5000.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","LIB","25/08/2014 12:00:00 AM","5000.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","LIB-VIC","26/09/2014 12:00:00 AM","3000.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","LIB","13/03/2015 12:00:00 AM","1935.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","ALP-VIC","09/04/2015 12:00:00 AM","1335.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","NAT","25/06/2015 12:00:00 AM","1307.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","ALP-VIC","03/03/2015 12:00:00 AM","1200.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","ALP-VIC","12/06/2015 12:00:00 AM","1000.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","ALP-VIC","10/11/2014 12:00:00 AM","1000.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","LNP-QLD","31/01/2015 12:00:00 AM","841.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","LNP-QLD","08/11/2014 12:00:00 AM","700.0000",
"ALH Group Pty Ltd","2/10 Yarra Street","SOUTH YARRA","VIC","3141","LIB","29/10/2014 12:00:00 AM","500.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (ALP)/ALP","12/05/2015 12:00:00 AM","16500.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia (Victorian Division)/LIB-VIC","19/02/2015 12:00:00 AM","12000.0000",
